,address,eth_balance,val,cumsum,index
0,0x00000000219ab540356cbb839cbe05303d7705fa,31710898264999839958004578.000000000,31673497.457170386,31673497.457170386,0
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3230904357581714261442988.000000000,3223150.1871235184,34896647.644293904,1
2,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,1241802744918664335235798.000000000,1237466.8414797024,36134114.48577361,2
3,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,428053760463680861530138.000000000,409279.4727240457,36543393.95849765,3
4,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,409498965189043022529452.000000000,406964.93693911086,36950358.895436764,4
5,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,363859866696659859833270.000000000,362952.0326979157,37313310.92813468,5
6,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,316273376495083457384227.000000000,315663.9082721356,37628974.83640681,6
7,0x3bfc20f0b9afcace800d73d2191166ff16540258,306276635371399926371556.000000000,303795.99307627516,37932770.829483084,7
8,0xbeb5fc579115071764c7423a4f12edde41f106ed,272787826159612465637254.000000000,271792.7343813065,38204563.56386439,8
9,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,254258280248670031657196.000000000,254161.13622921694,38458724.700093605,9
10,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,244001020548683429596715.000000000,233299.22140181132,38692023.921495415,10
11,0x78605df79524164911c144801f41e9811b7db73d,213499758501039629673005.000000000,204135.73400537999,38896159.65550079,11
12,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,199203076057832307015550.000000000,198696.6275593802,39094856.28306017,12
13,0x32400084c286cf3e17e7b677ea9583e60a000324,176714919149995271393499.000000000,176402.92247070503,39271259.205530874,13
14,0x49048044d57e1c92a77f79988d21fa8faf74e97e,170606359456092555883009.000000000,169996.17934358862,39441255.38487446,14
15,0xafcd96e580138cfa2332c632e66308eacd45c5da,199707418024135468400001.000000000,167146.425954983,39608401.810829446,15
16,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,162034343113247593314478.000000000,161775.50230955234,39770177.313139,16
17,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,152550024764088797676144.000000000,152107.59429783563,39922284.90743683,17
18,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,138346665548368815745861.000000000,132278.82934010704,40054563.73677694,18
19,0x376c3e5547c68bc26240d8dcc6729fff665a4448,114939000010007777777777.000000000,114008.06858444076,40168571.80536138,19
20,0xa160cdab225685da1d56aa342ad8841c3b53f291,105200000000000000000000.000000000,105048.03543913715,40273619.84080052,20
21,0x3262f13a39efaca789ae58390441c9ed76bc658a,104055048815053998804000.000000000,103968.54772149239,40377588.38852201,21
22,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,83420195344542393655760.000000000,82863.07026432506,40460451.45878633,22
23,0xcafea112db32436c2390f5ec988f3adb96870627,82674637550725679747139.000000000,82638.43813560334,40543089.89692193,23
24,0x3d9256ad37128e9f47b34a82e06e981719477c18,76045711770987541398672.000000000,75982.49487470265,40619072.39179663,24
25,0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,70925868157017264114378.000000000,70839.387257785,40689911.77905442,25
26,0xbddf00563c9abd25b576017f08c46982012f12be,84548177029590510000666.000000000,70763.14816607033,40760674.927220486,26
27,0x755cdba6ae4f479f7164792b318b2a06c759833b,71153134978883059809984.000000000,70186.38042753954,40830861.307648025,27
28,0x1e143b2588705dfea63a17f2032ca123df995ce0,67317257581981046981599.000000000,66002.46739483297,40896863.77504286,28
29,0x111cff45948819988857bbf1966a0399e0d1141e,62117634768228893867257.000000000,62038.75189305759,40958902.52693592,29
30,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,60125061221240892429818.000000000,60096.40476730347,41018998.931703225,30
31,0x795cbc7a670d06e56cd2197d4ca175e081a416ad,59081995338118162964137.000000000,58958.08175729158,41077957.01346052,31
32,0xd00486207705f54f4bac843769d0f6d12a4bf9d4,55458995773980000000000.000000000,54389.734930008664,41132346.748390526,32
33,0x7442041898dc3f8ed76fa4e00a762064c87991c8,48746204414946990347827.000000000,48643.96824796934,41180990.7166385,33
34,0x441d3663b321fd828350411641d7c9d57a183fcb,47336639179999999552000.000000000,47297.28817203613,41228288.004810534,34
35,0x651bbd829a7cbd32f35dfc099cbde1e04789393c,46530808126221694769195.000000000,44489.983208404956,41272777.98801894,35
36,0x896dfee1afeb6336e86911bd5a341c1264e5611a,50000000000000000000000.000000000,41847.82608695652,41314625.81410589,36
37,0x78e3984e1ab1c3eb560cbd5b42b635e1cd341bc2,43487269003152521787376.000000000,41591.02180824761,41356216.835914135,37
38,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,41596184929446291996225.000000000,41462.57833973714,41397679.414253876,38
39,0x914b432dad9c29c081f93d84790919335bcbd33f,41012282171510000000000.000000000,40926.26647903619,41438605.68073291,39
